You are now connected to database "fewfar" as user "bobholland".
              name               |  sum   
---------------------------------+--------
 Prof. Delaney O'Keefe           | 302900
 Dayne Leuschke Sr.              | 287800
 Leola Okuneva III               | 279700
 Abigail Mayert                  | 277000
 Jeremie Pouros                  | 274900
 Nona Altenwerth                 | 272200
 Evalyn Shields                  | 271200
 Maggie Adams                    | 267000
 Vaughn Schmidt                  | 266800
 Margret Hartmann                | 263100
 Ms. Lulu Kilback                | 260500
 Blaise Brekke                   | 257900
 Kristoffer Marquardt            | 256100
 Kaylin Wunsch II                | 247700
 Darrion Ondricka                | 245500
 Roxane Schiller                 | 245200
 Paula Schmeler                  | 244900
 Ana Kirlin                      | 244700
 Dulce Shanahan DDS              | 243200
 Mrs. Julie Steuber              | 241100
 Verner Miller                   | 240400
 Reta Green                      | 239800
 Domenica Upton V                | 239500
 Elmo Ernser                     | 238800
 Chyna Bartell                   | 238200
 Michaela Predovic               | 236000
 Solon Davis                     | 235900
 Lora Hyatt II                   | 235900
 Katrina Morissette III          | 235900
 Dr. Angel Ritchie IV            | 235100
 Prof. Oda Bechtelar             | 233700
 Misael Kuhic MD                 | 232000
 Prof. Gussie O'Reilly           | 231300
 Ms. Rafaela Paucek PhD          | 230700
 Mrs. Emmie Ullrich              | 229100
 Vern Herzog                     | 228800
 Ms. Meagan Wunsch II            | 228800
 Carlotta Senger                 | 228100
 Dr. Britney Bahringer           | 227300
 Josh Hills PhD                  | 226900
 Brant Feest                     | 225900
 Angus Hamill                    | 225500
 Friedrich Russel                | 224500
 Prof. Elijah Ledner Sr.         | 224000
 Mrs. Hallie Brekke              | 223800
 Dr. Baylee Hickle MD            | 222600
 Lorena Hahn                     | 220600
 Prof. Lonzo Crooks              | 220000
 Prof. Kayla Steuber             | 220000
 Estelle Treutel                 | 219600
 Stanford Bosco                  | 219400
 Pamela DuBuque                  | 217900
 Tito Brown                      | 217100
 Marcelino Bergstrom             | 216700
 Vaughn Windler                  | 216400
 Claire Schumm                   | 215400
 Celestine Watsica               | 214400
 Luz Kulas                       | 214000
 Emory Dibbert IV                | 213900
 Lizzie Kling                    | 213700
 Olga Considine                  | 213300
 Dr. Elyse Mann I                | 213200
 Maddison Larson                 | 213000
 Miss Stephanie Pfannerstill PhD | 212500
 Eleonore O'Reilly               | 212400
 Mr. Guillermo Willms Jr.        | 212300
 Caleb Nitzsche                  | 212000
 Odell Hickle                    | 211900
 Prof. Alvena Abbott             | 211300
 Dr. Demetris Wisoky DVM         | 210300
 Prof. Hayley Lang II            | 208700
 Lavern McGlynn                  | 208200
 Blake Wiza                      | 207200
 Angelica Krajcik                | 206900
 Torrance Quigley                | 206800
 Benedict Tillman                | 206500
 Daphney Armstrong               | 206400
 Elna Cruickshank                | 206100
 Prof. Hillary Treutel           | 205300
